Temparature,Soil_Type,Crop_Type,Fertilizer,Usage ,Instructions ,Fertilizer_Quantity_per_Acre ,Irrigation_Requirement,Brand 
20,Clayey,rice,Urea,Soil enrichment ,Apply during sowing to boost nitrogen content. ,50kg,High,"Sarsabz, Sona, Engro Urea "
25,Loamy,rice,Urea,Soil enrichment ,Apply during sowing to improve crop growth ,60kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
33,Loamy,Wheat,Urea,Soil enrichment ,Apply in early stages to boost growth. ,70kg,Regular water every 2 days,"Sarsabz, Sona, Engro Urea "
34,Loamy,Wheat,Urea,Soil enrichment ,Apply in early stages to improve yield. ,70kg,Regular water every 2 days,"Sarsabz, Sona, Engro Urea "
38,Loamy,Wheat,Urea,Soil enrichment ,Apply in early stages to improve growth. ,75kg,Regular water every 2 days,"Sarsabz, Sona, Engro Urea "
31,Red,Tobacco,Urea,Soil enrichment ,Apply in early stages to improve nitrogen uptake. ,45kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
32,Loamy,Sugarcane,Urea,Soil enrichment ,Apply during planting to enhance root growth. ,100kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
34,Black,Sugarcane,Urea,Soil enrichment ,Apply during planting for better root development ,120kg,High,"Sarsabz, Sona, Engro Urea "
33,Clayey,Pulses,Urea,Nitrogen fixing ,Apply to boost nitrogen fixation in pulses. ,40kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
28,Clayey,Pulses,Urea,Nitrogen fixing ,Apply to enhance nitrogen availability ,45kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
27,Loamy,pomegranate,Urea,Soil enrichment ,Apply during early growth to boost nitrogen levels. ,55kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
28,Clayey,Paddy,Urea,Soil enrichment ,Apply in the early stage of growth. ,50kg,High,"Sarsabz, Sona, Engro Urea "
34,Clayey,Paddy,Urea,Soil enrichment ,Apply during early stages of growth for better yield ,60kg,High,"Sarsabz, Sona, Engro Urea "
27,Black,Oil seeds,Urea,Soil enrichment ,Apply to enhance nitrogen content. ,50kg,Regular water every 3 days,"Sarsabz, Sona, Engro Urea "
